,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
37,10.0,5.0,20.0,0.0,3.0,0.0,13.0,5.0,9.0,9.0,0.0,8.0,0.0,0.0,11.0,-2.0,16.0,16.0,16.0,16.0,2.0,4.4,0.10000000000000009,9.9
38,11.0,5.0,20.0,2.0,6.0,0.0,5.0,9.0,9.0,13.0,-0.0,0.0,0.0,11.0,12.0,0.0,16.0,16.0,16.0,16.0,0.0,4.033333333333333,-4.366666666666666,7.733333333333333
39,11.0,5.0,20.0,0.0,1.0,0.0,9.0,9.0,13.0,11.0,0.0,0.0,11.0,12.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,1.9666666666666668,11.366666666666667,10.466666666666667
40,11.0,5.0,20.0,0.0,0.0,0.0,9.0,13.0,11.0,14.0,0.0,11.0,12.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,0.33333333333333326,2.333333333333333,8.333333333333334
41,11.0,5.0,20.0,0.0,6.0,0.0,13.0,11.0,14.0,0.0,0.0,12.0,0.0,0.0,8.0,-0.0,16.0,16.0,16.0,16.0,0.0,18.966666666666665,4.366666666666665,12.466666666666665
42,12.0,5.0,19.0,1.0,7.0,3.0,11.0,14.0,0.0,13.0,-0.0,0.0,0.0,8.0,0.0,-6.0,16.0,16.0,16.0,16.0,6.0,11.533333333333335,19.933333333333334,11.333333333333334
43,14.0,5.0,18.0,0.0,2.0,1.0,14.0,0.0,13.0,9.0,0.0,0.0,8.0,0.0,12.0,0.0,16.0,16.0,16.0,16.0,0.0,12.399999999999999,-0.8000000000000007,14.8
44,15.0,5.0,18.0,0.0,0.0,0.0,0.0,13.0,9.0,15.0,0.0,8.0,0.0,12.0,7.0,0.0,16.0,16.0,16.0,16.0,0.0,8.166666666666666,-2.3333333333333335,11.666666666666666
45,15.0,5.0,17.0,0.0,3.0,0.0,13.0,9.0,15.0,16.0,0.0,0.0,12.0,7.0,0.0,0.0,16.0,16.0,16.0,17.0,0.0,-22.516666666666666,4.933333333333334,3.983333333333333
46,15.0,6.0,18.0,0.0,0.0,0.0,9.0,15.0,16.0,16.0,0.0,12.0,7.0,0.0,0.0,0.0,16.0,16.0,17.0,11.0,-0.0,8.583333333333332,9.833333333333332,18.083333333333332
47,15.0,6.0,19.0,0.0,6.0,0.0,15.0,16.0,16.0,15.0,0.0,7.0,0.0,0.0,11.0,-0.0,16.0,17.0,11.0,16.0,0.0,-3.4499999999999997,-3.05,6.8
48,14.0,6.0,20.0,1.0,7.0,0.0,16.0,16.0,15.0,24.0,0.0,0.0,0.0,11.0,12.0,0.0,17.0,11.0,16.0,16.0,0.0,-4.033333333333333,-4.633333333333334,6.066666666666666
49,14.0,6.0,20.0,2.0,1.0,0.0,16.0,15.0,24.0,0.0,-1.0,0.0,11.0,12.0,0.0,0.0,11.0,16.0,16.0,16.0,1.0,34.95,22.05,21.9
50,12.0,6.0,19.0,4.0,0.0,0.0,15.0,24.0,0.0,4.0,-2.0,11.0,12.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,2.0,19.883333333333333,5.033333333333333,3.783333333333333
51,13.0,6.0,18.0,5.0,6.0,0.0,24.0,0.0,4.0,13.0,-1.0,12.0,0.0,0.0,10.0,1.0,16.0,16.0,16.0,13.0,-0.0,10.883333333333333,1.0333333333333337,14.383333333333333
52,14.0,6.0,19.0,12.0,7.0,5.0,0.0,4.0,13.0,13.0,-3.0,0.0,0.0,10.0,0.0,-5.0,16.0,16.0,13.0,16.0,8.0,17.333333333333336,21.333333333333336,9.533333333333333
53,13.0,5.0,20.0,0.0,2.0,1.0,4.0,13.0,13.0,15.0,0.0,0.0,10.0,0.0,12.0,0.0,16.0,13.0,16.0,16.0,0.0,5.7333333333333325,-1.7166666666666672,16.883333333333333
54,12.0,6.0,20.0,0.0,0.0,0.0,13.0,13.0,15.0,16.0,1.0,10.0,0.0,12.0,7.0,0.0,13.0,16.0,16.0,16.0,-1.0,-15.333333333333334,-8.833333333333334,4.166666666666666
55,12.0,6.0,20.0,1.0,4.0,0.0,13.0,15.0,16.0,0.0,-0.0,0.0,12.0,7.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,27.15,17.85,10.5
56,11.0,6.0,20.0,2.0,0.0,0.0,15.0,16.0,0.0,12.0,-1.0,12.0,7.0,0.0,7.0,1.0,16.0,16.0,16.0,16.0,0.0,8.066666666666666,1.766666666666667,9.766666666666667
57,11.0,6.0,20.0,6.0,6.0,0.0,16.0,0.0,12.0,8.0,0.0,7.0,0.0,7.0,11.0,-0.0,16.0,16.0,16.0,16.0,0.0,11.0,0.5,10.1
58,11.0,6.0,19.0,5.0,7.0,3.0,0.0,12.0,8.0,13.0,-6.0,0.0,7.0,11.0,10.0,0.0,16.0,16.0,16.0,16.0,6.0,12.0,1.2999999999999998,7.7
59,10.0,5.0,19.0,3.0,0.0,0.0,12.0,8.0,13.0,15.0,8.0,7.0,11.0,10.0,0.0,-7.0,16.0,16.0,16.0,13.0,-1.0,-7.733333333333334,8.816666666666666,17.316666666666666
60,10.0,5.0,20.0,2.0,2.0,0.0,8.0,13.0,15.0,0.0,-3.0,11.0,10.0,0.0,0.0,0.0,16.0,16.0,13.0,16.0,3.0,28.833333333333336,18.333333333333332,19.03333333333333
61,9.0,5.0,20.0,0.0,6.0,0.0,13.0,15.0,0.0,22.0,-2.0,10.0,0.0,0.0,8.0,-2.0,16.0,13.0,16.0,17.0,4.0,-9.033333333333333,0.1166666666666667,7.216666666666667
62,8.0,4.0,20.0,5.0,12.0,0.0,15.0,0.0,22.0,2.0,-0.0,0.0,0.0,8.0,10.0,0.0,13.0,16.0,17.0,16.0,0.0,12.266666666666667,-2.433333333333333,9.766666666666667
63,9.0,5.0,20.0,6.0,7.0,0.0,0.0,22.0,2.0,0.0,-5.0,0.0,8.0,10.0,0.0,0.0,16.0,17.0,16.0,16.0,5.0,27.383333333333333,16.28333333333333,13.233333333333333
64,11.0,6.0,20.0,0.0,1.0,0.0,22.0,2.0,0.0,18.0,0.0,8.0,10.0,0.0,0.0,0.0,17.0,16.0,16.0,16.0,0.0,-9.2,10.450000000000001,8.05
65,10.0,6.0,20.0,12.0,2.0,0.0,2.0,0.0,18.0,0.0,-0.0,10.0,0.0,0.0,8.0,-1.0,16.0,16.0,16.0,16.0,1.0,21.75,9.25,16.7
66,12.0,5.0,20.0,2.0,7.0,0.0,0.0,18.0,0.0,15.0,0.0,0.0,0.0,8.0,12.0,0.0,16.0,16.0,16.0,16.0,0.0,3.333333333333333,-4.666666666666667,7.533333333333333
67,11.0,6.0,20.0,0.0,1.0,0.0,18.0,0.0,15.0,16.0,0.0,0.0,8.0,12.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,-15.866666666666667,8.783333333333333,6.383333333333334
68,11.0,6.0,20.0,7.0,0.0,0.0,0.0,15.0,16.0,6.0,-0.0,8.0,12.0,0.0,7.0,0.0,16.0,16.0,16.0,16.0,0.0,12.15,-4.4,9.35
69,11.0,5.0,20.0,0.0,3.0,0.0,15.0,16.0,6.0,19.0,0.0,12.0,0.0,7.0,11.0,-0.0,16.0,16.0,16.0,16.0,0.0,-12.6,-6.9,3.9
70,10.0,5.0,20.0,5.0,7.0,0.0,16.0,6.0,19.0,0.0,-0.0,0.0,7.0,11.0,0.0,-3.0,16.0,16.0,16.0,16.0,3.0,25.266666666666666,20.566666666666666,18.766666666666666
71,10.0,4.0,20.0,6.0,3.0,1.0,6.0,19.0,0.0,0.0,-5.0,7.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,5.0,30.15,16.45,17.9
72,10.0,4.0,20.0,2.0,3.0,0.0,19.0,0.0,0.0,18.0,0.0,11.0,0.0,0.0,11.0,-3.0,16.0,16.0,16.0,16.0,3.0,-2.616666666666667,-1.7166666666666666,10.833333333333334
73,12.0,4.0,20.0,7.0,7.0,1.0,0.0,0.0,18.0,25.0,-2.0,0.0,0.0,11.0,0.0,-3.0,16.0,16.0,16.0,16.0,5.0,-3.1166666666666667,11.383333333333335,10.233333333333334
74,12.0,4.0,20.0,0.0,3.0,0.0,0.0,18.0,25.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,16.983333333333334,13.433333333333334,15.983333333333334
75,11.0,4.0,20.0,0.0,0.0,0.0,18.0,25.0,0.0,7.0,0.0,11.0,0.0,0.0,12.0,0.0,16.0,16.0,16.0,16.0,0.0,-14.25,-12.25,2.5
76,11.0,3.0,20.0,7.0,8.0,0.0,25.0,0.0,7.0,13.0,-0.0,0.0,0.0,12.0,0.0,-0.0,16.0,16.0,16.0,16.0,0.0,6.466666666666667,7.866666666666667,10.666666666666668
77,10.0,3.0,20.0,15.0,5.0,3.0,0.0,7.0,13.0,0.0,-7.0,0.0,12.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,7.0,30.15,13.65,14.100000000000001
78,11.0,3.0,20.0,4.0,2.0,0.0,7.0,13.0,0.0,18.0,0.0,12.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,0.0,2.15,8.85,16.3
